CID,Type,Category,Checker,CWE,Impact,Severity,File,Function,Line Number,Language,First Snapshot Date,First Snapshot Version,First Snapshot Stream,Last Snapshot Date,Last Snapshot Version,Last Snapshot Stream
473951,Overflowed array index read,Memory - illegal accesses,INTEGER_OVERFLOW,125.0,High,Unspecified,/deflate_p.h,zng_tr_tally_dist,92,C,01/26/25,develop pre-2.2.4,zlib-ng-zlib-ng,02/09/25,2.2.4-rc,zlib-ng-zlib-ng
473950,Overflowed constant,Integer handling issues,INTEGER_OVERFLOW,190.0,Medium,Unspecified,/arch/x86/crc32_fold_pclmulqdq_tpl.h,crc32_fold_pclmulqdq_copy,137,C,01/26/25,develop pre-2.2.4,zlib-ng-zlib-ng,02/09/25,2.2.4-rc,zlib-ng-zlib-ng
473948,Overflowed constant,Integer handling issues,INTEGER_OVERFLOW,190.0,Medium,Unspecified,/chunkset_tpl.h,chunkmemset_avx512,167,C,01/26/25,develop pre-2.2.4,zlib-ng-zlib-ng,02/09/25,2.2.4-rc,zlib-ng-zlib-ng
473947,Overflowed constant,Integer handling issues,INTEGER_OVERFLOW,190.0,Medium,Unspecified,/arch/generic/crc32_braid_c.c,crc32_braid,120,C,01/26/25,develop pre-2.2.4,zlib-ng-zlib-ng,02/09/25,2.2.4-rc,zlib-ng-zlib-ng
473946,Overflowed constant,Integer handling issues,INTEGER_OVERFLOW,190.0,Medium,Unspecified,/chunkset_tpl.h,chunkmemset_avx2,167,C,01/26/25,develop pre-2.2.4,zlib-ng-zlib-ng,02/09/25,2.2.4-rc,zlib-ng-zlib-ng
473945,Overflowed constant,Integer handling issues,INTEGER_OVERFLOW,190.0,Medium,Unspecified,/arch/x86/crc32_fold_pclmulqdq_tpl.h,crc32_fold_pclmulqdq,137,C,01/26/25,develop pre-2.2.4,zlib-ng-zlib-ng,02/09/25,2.2.4-rc,zlib-ng-zlib-ng
473944,Overflowed constant,Integer handling issues,INTEGER_OVERFLOW,190.0,Medium,Unspecified,/arch/x86/adler32_sse42.c,adler32_fold_copy_sse42,90,C,01/26/25,develop pre-2.2.4,zlib-ng-zlib-ng,02/09/25,2.2.4-rc,zlib-ng-zlib-ng
473943,Overflowed constant,Integer handling issues,INTEGER_OVERFLOW,190.0,Medium,Unspecified,/arch/x86/crc32_fold_pclmulqdq_tpl.h,crc32_fold_vpclmulqdq,137,C,01/26/25,develop pre-2.2.4,zlib-ng-zlib-ng,02/09/25,2.2.4-rc,zlib-ng-zlib-ng
473942,Overflowed constant,Integer handling issues,INTEGER_OVERFLOW,190.0,Medium,Unspecified,/arch/x86/crc32_fold_pclmulqdq_tpl.h,crc32_fold_vpclmulqdq_copy,137,C,01/26/25,develop pre-2.2.4,zlib-ng-zlib-ng,02/09/25,2.2.4-rc,zlib-ng-zlib-ng
473941,Overflowed constant,Integer handling issues,INTEGER_OVERFLOW,190.0,Medium,Unspecified,/inflate_p.h,chunkcopy_safe,197,C,01/26/25,develop pre-2.2.4,zlib-ng-zlib-ng,02/09/25,2.2.4-rc,zlib-ng-zlib-ng
472872,Resource leak,Resource leaks,RESOURCE_LEAK,404.0,High,Minor,/compress.c,compress2,47,C,01/26/25,develop pre-2.2.4,zlib-ng-zlib-ng,02/09/25,2.2.4-rc,zlib-ng-zlib-ng
468946,Out-of-bounds read,Memory - illegal accesses,OVERRUN,125.0,High,Unspecified,/deflate_p.h,zng_tr_tally_dist,Various,C,09/15/24,2.2.2,zlib-ng-zlib-ng,02/09/25,2.2.4-rc,zlib-ng-zlib-ng
464159,Overflowed integer argument,Insecure data handling,INTEGER_OVERFLOW,190.0,High,Minor,/gzread.c,gz_load,28,C,01/26/25,develop pre-2.2.4,zlib-ng-zlib-ng,02/09/25,2.2.4-rc,zlib-ng-zlib-ng
463786,Overflowed constant,Integer handling issues,INTEGER_OVERFLOW,190.0,Medium,Minor,/crc32_braid_comb_p.h,multmodp,16,C,01/26/25,develop pre-2.2.4,zlib-ng-zlib-ng,02/09/25,2.2.4-rc,zlib-ng-zlib-ng
293565,Bad bit shift operation,Integer handling issues,BAD_SHIFT,,Medium,Minor,/deflate.c,deflatePrime,Various,C,07/01/20,July 1 2020 #1,zlib-ng-zlib-ng,02/09/25,2.2.4-rc,zlib-ng-zlib-ng
